Day,Past 90 days
2014-04-24,71
2014-04-25,73
2014-04-26,61
2014-04-27,64
2014-04-28,77
2014-04-29,83
2014-04-30,80
2014-05-01,75
2014-05-02,73
2014-05-03,60
2014-05-04,61
2014-05-05,69
2014-05-06,70
2014-05-07,72
2014-05-08,72
2014-05-09,74
2014-05-10,62
2014-05-11,60
2014-05-12,73
2014-05-13,74
2014-05-14,77
2014-05-15,81
2014-05-16,85
2014-05-17,63
2014-05-18,60
2014-05-19,68
2014-05-20,70
2014-05-21,74
2014-05-22,75
2014-05-23,71
2014-05-24,67
2014-05-25,68
2014-05-26,67
2014-05-27,73
2014-05-28,71
2014-05-29,69
2014-05-30,70
2014-05-31,61
2014-06-01,60
2014-06-02,71
2014-06-03,72
2014-06-04,72
2014-06-05,74
2014-06-06,72
2014-06-07,63
2014-06-08,66
2014-06-09,73
2014-06-10,75
2014-06-11,75
2014-06-12,71
2014-06-13,71
2014-06-14,62
2014-06-15,60
2014-06-16,71
2014-06-17,74
2014-06-18,73
2014-06-19,75
2014-06-20,70
2014-06-21,62
2014-06-22,61
2014-06-23,71
2014-06-24,73
2014-06-25,75
2014-06-26,71
2014-06-27,69
2014-06-28,61
2014-06-29,62
2014-06-30,71
2014-07-01,73
2014-07-02,73
2014-07-03,75
2014-07-04,68
2014-07-05,72
2014-07-06,69
2014-07-07,74
2014-07-08,76
2014-07-09,79
2014-07-10,78
2014-07-11,77
2014-07-12,68
2014-07-13,67
2014-07-14,75
2014-07-15,74
2014-07-16,76
2014-07-17,100
2014-07-18,90
2014-07-19,71
2014-07-20,73
2014-07-21, 
2014-07-22, 
2014-07-23, 
